DVD,0.8,100
TV 5'p,6,500
Celular,0.25,700
Tablet,0.35,850
Livro,0.5,100
Faca,0.4,60
Notebook,2,1800
Camiseta,0.2,120
Bermuda,0.3,50
Pen-drive,0.03,60
Smart-watch,0.2,500
Headphone,0.25,300
Carregador portátil,0.2,90
Mochila,1.0,200
Boné,0.1,80
Óculos de sol,0.15,250
Chaveiro,0.05,20
Relógio analógico,0.3,400
Caderno,0.6,70
Mouse sem fio,0.1,150
Teclado,0.5,200
HD externo,0.4,350
Caixa de som Bluetooth,0.8,400
Guarda-chuva,0.7,130
Power bank solar,0.3,160
Lanterna,0.35,90
Canivete,0.2,110
Roteador Wi-Fi,0.6,320
Capacete,1.5,250
Tênis esportivo,1.2,300
Blusa,0.7,220
Livro técnico,0.8,150
Kindle,0.35,450
Câmera digital,1.0,900
Projetor portátil,1.8,1100
Scanner de mão,0.6,600
Estabilizador,2.5,300
Balança digital,1.1,240
Smartband,0.1,350
Adaptador HDMI,0.05,40
Suporte para notebook,0.9,180
Webcam,0.25,220
Tripé,1.2,280
Coqueteleira,0.4,70
Luminária LED,0.6,130
Placa Arduino,0.05,100
Multímetro,0.4,200
Cabo USB-C,0.1,50
Bolsa de viagem,2.0,350
Mini ventilador USB,0.2,90
